product_name,manufacturer,pages
24132 - Kaiser Awl EV Lab,"Total Mechanical, Inc","[2, 12]"
"S-585-80-LF Lead-Free Bronze Ball Valve, C x C",unknown,"[1, 3]"
"T-585-80-LF Lead-Free Bronze Ball Valve, NPT x NPT",unknown,"[1, 3]"
Circuit Setter Plus® Calibrated Balance Valves,Bell & Gossett,"[1, 4]"
rf-1/2s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
rf-3/4s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1/2s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-3/4s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1-1/4s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1-1/2s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-2s lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1/2 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-3/4 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1-1/4 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-1-1/2 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-2 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
cb-2-1/2 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
